"store_id";"store_name";"phone";"email";"street";"city";"state";"zip_code"
1;"store_name1";"884462117";"xxssdd@gmail.com";"xxvvqq";"varna";"ccxssi";2765
2;"store_name2";"884452117";"txssdd@gmail.com";"xxvvqq";"plovdiv";"ccxssz";4765
3;"store_name3";"884422417";"xtssdd@gmail.com";"xxvvqq";"petrich";"ccxssy";6765
4;"store_name4";"884462117";"xxysdd@gmail.com";"xxvvqq";"haskovo";"ccxsst";8765
5;"store_name5";"884422717";"xxusdd@gmail.com";"xxvvqq";"ruse";"ccxssc";9765
6;"store_name6";"884425117";"xxisdd@gmail.com";"xxvvqq";"trun_";"ccxssq";7765
7;"store_name7";"884423117";"xxasdd@gmail.com";"xxvvqq";"silistra";"ccrssa";8365
8;"store_name8";"884722117";"xxsrdd@gmail.com";"xxvvqq";"plovdiv";"ccxtsa";8265
9;"store_name9";"884622117";"xxsmdd@gmail.com";"xxvvqq";"burgas";"ccxsya";8775
10;"store_name10";"883422117";"xxnsdd@gmail.com";"xxvvqq";"sofia";"ccxsqa";2165
